country,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,Sachsen-Anhalt,616.54,494.85,525.98,576.18,499.82,494.24,486.05,653.04,370.28,461.93,461.08
Germany,Schleswig-Holstein,810.46,790.35,733.54,727.73,774.1,841.77,694.09,994.74,582.12,789.81,727.47
Germany,Thueringen,687.84,526.97,575.35,632.77,584.58,504.84,558.59,637.26,437.66,492.77,512.82
India,India,1187.09,1089.24,1018.89,1196.86,999.89,1085.1,1065.11,1108.3,974.76,1244.56,1168.82
India,Andaman and Nicobar,3228.68,3492.29,3477.63,3383.51,3044.67,2988.46,3637.2,3320.99,3506.83,2905.48,3142.94
India,Andhra Pradesh,1323.67,790.16,933.93,1066.01,843.08,890.02,929.87,963.55,797.03,1014.85,1102.54
India,Assam,2578.79,1804.17,2190.88,2198.26,1849.63,2293.47,2030.19,2481.77,1781.36,2009.36,2437.59
India,Delhi,783.91,806.08,815.62,822.01,529.65,641.47,652.88,766.8,775.71,655.05,650.47
India,Goa,2980.03,2454.86,1644.98,2295.87,2451.22,1604.35,2095.76,1786.16,1767.07,3819.41,3208.92
India,Gujarat,1253.01,751.34,531.5,862.81,819.33,660.81,675.45,857.79,511.94,956.07,823.07
India,Haryana,682.81,720.36,673.85,767.3,523.63,623.53,604.6,640.74,664.31,592.79,614.39
India,Himachal Pradesh,729.05,840.31,653.1,915.59,769.17,1003.68,698.47,898.52,790.07,868.26,737.07
India,Karnataka,1247.59,1101.94,803.9,1106.48,1188.62,932.42,938.81,1079.15,912.75,1394.03,1344.1
India,Kerala,2585.49,2122.54,1561.08,2254.69,2460.09,2506.13,1645.68,2259.05,2269.73,2461.99,2577.79
India,Lakshadweep,1850.9,1485.2,1390.7,1535.3,1253.6,1865.6,957.2,1836.6,1326.4,2130.1,1958.9
India,Maharashtra,1402.21,1089,921.54,1220.03,1009.55,944.67,1079.66,1033.69,872.7,1467.26,1350.2
India,Manipur,2096.05,1703.76,1971.27,1720.76,1565.83,1991.13,1823.93,2204.44,1628.47,1705.31,1998.63
India,Meghalaya,3722.62,2527.98,3130.13,2969.22,2716.79,3569.41,3082.06,3914.51,2647.07,3001.91,3741.14
India,Mizoram,2569.82,2419.07,2554.56,2234.15,1976.32,2871.56,2377.95,3224.49,2173.18,2325.15,2638.65
India,Nagaland,2194.56,1607.3,1956.45,1850.52,1515.15,1932.73,1760.93,2002.05,1572.38,1654.24,2048.38
India,Orissa,1479.89,1329.12,1378.48,1340.79,1388.93,1258.95,1409.93,1369.27,1498.74,1670.79,1480.36
India,Punjab,707.55,779.95,651.77,853.48,684.54,807.13,658.93,690.95,664.69,719.73,752.98
India,Rajasthan,595.9,515,494.89,646.06,450.14,549.63,560.58,479.78,467.49,646.71,492.85
India,Sikkim,1817.58,1898.39,1431.23,1639.06,1333.87,1539.29,1665.82,1604.95,1375.55,1576.31,1733.47
India,Tamil Nadu,1326.96,1092.35,860.52,987.57,1056.36,1522.47,729.28,1185.17,980.52,1074.85,1111.47
India,Tripura,2491.76,1852.09,2258.47,2100.46,1944.37,2729.83,2220.15,3116.37,2020.61,2149.83,2596.44
India,West Bengal,1636.57,1678.93,1427.96,1615.06,1426.26,1786.67,1652.54,1865.54,1359.07,1587.3,1842.08
India,Administrative unit not available,282.19,251.78,202.8,242.95,214.42,364.52,187.84,356.08,253,284.41,246.47
India,Administrative unit not available.1,484.07,397.03,349.78,456.91,412.8,602.01,337.48,470.67,357.44,471.85,450.72
India,Administrative unit not available.2,887.64,640.59,555.37,759.05,671.11,951,537.33,646.16,501.77,734.15,742.64
India,Administrative unit not available.3,904.3,726.61,634.46,860.27,804.08,1064.8,626.98,754.56,609.62,850.72,832.64
India,Administrative unit not available.4,919.38,730.02,636.22,864.05,802.34,1079.1,627.9,757.78,605.81,859.26,839.84
India,Administrative unit not available.5,740.22,649.88,564.21,767.46,711.32,928.35,563.92,693.28,570.43,752.69,726.18
India,Administrative unit not available.6,1010.67,816.57,703.87,964.65,888.22,1204.65,701.08,833.82,671.76,961.34,932.04
India,Administrative unit not available.7,1063.46,1009.51,820.63,1161.29,1030.22,1258.52,885.21,916.11,846.23,1067.68,1053.54
India,Administrative unit not available.8,932.08,955.03,792.55,1101.11,1025.21,1202.24,821.91,895.82,833.35,1009.42,984.5
India,Administrative unit not available.9,1067.63,845.83,717.03,1009.66,885.67,1214.21,741.85,831.32,690.31,960.07,950.37
India,Arunachal Pradesh,1945.6,1391.13,1710.25,1681.63,1281.15,1624.87,1631.58,1670.28,1501.08,1482.58,1734.5
India,Bihar,1171.91,1518.04,1346.82,1306.29,851.6,1228.62,1358.04,1199.35,1155.09,1203.42,1336.06
India,Chandigarh,882.5,1022.9,856.4,1124.8,858.2,982.5,856.1,978.1,946.1,943.5,894.5
India,Chhattisgarh,1323.9,1243.79,1429.14,1426.03,1228.73,1309.2,1373.22,1300.72,1268.15,1601.32,1392.25
